match_nr,player0,player1,result
103,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.0625, n_sims=100, selection_fn=puct_value]",1.0
104,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.125, n_sims=100, selection_fn=puct_value]",1.0
105,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.25, n_sims=100, selection_fn=puct_value]",1.0
106,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.5, n_sims=100, selection_fn=puct_value]",0.0
107,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=1, n_sims=100, selection_fn=puct_value]",1.0
108,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=2, n_sims=100, selection_fn=puct_value]",-1.0
109,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=4, n_sims=100, selection_fn=puct_value]",1.0
110,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.0078125, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",1.0
111,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.015625, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-1.0
112,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.03125, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-1.0
113,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.0625, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-1.0
114,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.125, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",1.0
115,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-1.0
116,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.5, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-1.0
117,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=1, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",1.0
118,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=2, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",-1.0
119,"MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=4, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]",1.0
120,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.0078125, n_sims=100, selection_fn=puct_value]",1.0
121,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.015625, n_sims=100, selection_fn=puct_value]",1.0
122,"MCTS[MCTS[name=best_static, uct_c=0.25, n_sims=100, selection_fn=puct_value]","MCTS[MCTS[name=models/connect_four_long_run_checkpoint_nr_0, uct_c=0.03125, n_sims=100, selection_fn=puct_value]",1.0
